,시장,티커,종목이름
546,KOSPI,020560,아시아나항공
547,KOSPI,122900,아이마켓코리아
548,KOSPI,010780,아이에스동서
549,KOSPI,139990,아주스틸
550,KOSPI,001780,알루코
551,KOSPI,018250,애경산업
552,KOSPI,161000,애경유화
553,KOSPI,011090,에넥스
554,KOSPI,137310,에스디바이오센서
555,KOSPI,005850,에스엘
556,KOSPI,012750,에스원
557,KOSPI,023960,에쓰씨엔지니어링
558,KOSPI,298690,에어부산
559,KOSPI,140910,에이리츠
560,KOSPI,078520,에이블씨엔씨
561,KOSPI,015260,에이엔피
562,KOSPI,007460,에이프로젠 MED
563,KOSPI,003060,에이프로젠제약
564,KOSPI,244920,에이플러스에셋
565,KOSPI,036570,엔씨소프트
566,KOSPI,138250,엔에스쇼핑
567,KOSPI,380440,엔에이치스팩19호
568,KOSPI,085310,엔케이
569,KOSPI,009810,엔케이물산
570,KOSPI,900140,엘브이엠씨홀딩스
571,KOSPI,097520,엠씨넥스
572,KOSPI,014440,영보화학
573,KOSPI,111770,영원무역
574,KOSPI,009970,영원무역홀딩스
575,KOSPI,003520,영진약품
576,KOSPI,000670,영풍
577,KOSPI,006740,영풍제지
578,KOSPI,012280,영화금속
579,KOSPI,012160,영흥
580,KOSPI,015360,예스코홀딩스
581,KOSPI,007310,오뚜기
582,KOSPI,002630,오리엔트바이오
583,KOSPI,271560,오리온
584,KOSPI,001800,오리온홀딩스
585,KOSPI,011690,와이투솔루션
586,KOSPI,070960,용평리조트
587,KOSPI,316140,우리금융지주
588,KOSPI,033660,우리금융캐피탈
589,KOSPI,118000,우리들휴브레인
590,KOSPI,010050,우리종금
591,KOSPI,006980,우성사료
592,KOSPI,017370,우신시스템
593,KOSPI,105840,우진
594,KOSPI,010400,우진아이엔에스
595,KOSPI,049800,우진플라임
596,KOSPI,016880,웅진
597,KOSPI,095720,웅진씽크빅
598,KOSPI,005820,원림
599,KOSPI,010600,웰바이오텍
600,KOSPI,008600,윌비스
601,KOSPI,033270,유나이티드제약
602,KOSPI,014830,유니드
603,KOSPI,000910,유니온
604,KOSPI,047400,유니온머티리얼
605,KOSPI,011330,유니켐
606,KOSPI,077500,유니퀘스트
607,KOSPI,002920,유성기업
608,KOSPI,000700,유수홀딩스
609,KOSPI,003470,유안타증권
610,KOSPI,003475,유안타증권우
611,KOSPI,072130,유엔젤
612,KOSPI,000220,유유제약
613,KOSPI,000225,유유제약1우
614,KOSPI,000227,유유제약2우B
615,KOSPI,001200,유진투자증권
616,KOSPI,000100,유한양행
617,KOSPI,000105,유한양행우
618,KOSPI,003460,유화증권
619,KOSPI,003465,유화증권우
620,KOSPI,008730,율촌화학
621,KOSPI,008250,이건산업
622,KOSPI,025820,이구산업
623,KOSPI,214320,이노션
624,KOSPI,088260,이리츠코크렙
625,KOSPI,139480,이마트
626,KOSPI,007660,이수페타시스
627,KOSPI,005950,이수화학
628,KOSPI,015020,이스타코
629,KOSPI,093230,이아이디
630,KOSPI,074610,이엔플러스
631,KOSPI,102460,이연제약
632,KOSPI,084680,이월드
633,KOSPI,350520,이지스레지던스리츠
634,KOSPI,334890,이지스밸류리츠
635,KOSPI,000760,이화산업
636,KOSPI,014990,인디에프
637,KOSPI,101140,인바이오젠
638,KOSPI,006490,인스코비
639,KOSPI,023800,인지컨트롤스
640,KOSPI,034590,인천도시가스
641,KOSPI,129260,인터지스
642,KOSPI,023810,인팩
643,KOSPI,249420,일동제약
644,KOSPI,000230,일동홀딩스
645,KOSPI,013360,일성건설
646,KOSPI,003120,일성신약
647,KOSPI,003200,일신방직
648,KOSPI,007110,일신석재
649,KOSPI,007570,일양약품
650,KOSPI,007575,일양약품우
651,KOSPI,008500,일정실업
652,KOSPI,081000,일진다이아
653,KOSPI,020760,일진디스플
654,KOSPI,020150,일진머티리얼즈
655,KOSPI,103590,일진전기
656,KOSPI,015860,일진홀딩스
